DateTime,EventId,EventType,Message,RecordId
2025-05-10 14:02:36,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,39795
2025-05-10 14:02:36,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,39796
2025-05-10 14:02:38,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,39803
2025-05-10 15:30:58,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,39828
2025-05-10 23:39:43,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,39931
2025-05-10 23:39:44,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,39953
2025-05-10 23:39:46,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,39960
2025-05-11 08:53:34,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,39988
2025-05-11 10:16:59,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40059
2025-05-11 10:17:00,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40081
2025-05-11 10:17:02,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40090
2025-05-11 12:08:05,6013,System uptime report,The system uptime is 80139 seconds.,40097
2025-05-11 12:08:31,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40115
2025-05-11 13:15:27,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40175
2025-05-11 13:15:28,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40197
2025-05-11 13:15:30,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40204
2025-05-11 16:08:54,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40229
2025-05-11 20:53:17,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40324
2025-05-11 20:53:23,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40347
2025-05-11 20:53:25,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40355
2025-05-12 19:43:36,6013,System uptime report,The system uptime is 193871 seconds.,40362
