6"DateTime","EventId","LogName","EventType","Level","Username","ProcessName","Message","AdditionalInfo","RecordId"
"2025/09/07 13:53:53","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","78995"
"2025/09/07 13:53:55","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","78998"
"2025/09/07 16:30:15","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","79015"
"2025/09/07 18:03:04","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","79083"
"2025/09/07 18:03:05","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","79104"
"2025/09/07 18:03:07","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","79110"
"2025/09/08 17:45:22","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 208861 seconds.","","79113"
"2025/09/08 17:45:30","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","79139"
"2025/09/08 19:34:27","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","79247"
"2025/09/08 19:34:29","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","79267"
"2025/09/08 19:34:30","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","79270"
"2025/09/08 19:53:55","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","79288"
"2025/09/08 23:16:21","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","79366"
"2025/09/08 23:16:23","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","79387"
"2025/09/08 23:16:25","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","79390"
"2025/09/09 07:38:05","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","79407"
"2025/09/09 07:51:59","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the restart of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: restart  Comment:","Reason: , Comment: ","79494"
"2025/09/09 07:52:01","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","79514"
"2025/09/09 07:52:22","6006","System","System shutdown (Event Log service stopped)","Information","N/A","N/A","The Event log service was stopped.","","79518"
"2025/09/09 07:52:48","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","79526"
"2025/09/09 07:52:48","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 11 seconds.","","79527"
"2025/09/09 07:52:56","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","79699"
"2025/09/09 12:00:00","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 14843 seconds.","","79767"
"2025/09/09 22:17:52","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process C:\WINDOWS\uus\AMD64\MoNotificationUx.exe (AIGENT-4090) has initiated the restart of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Operating System: Service pack (Planned)  Reason Code: 0x80020010  Shutdown Type: restart  Comment:","Reason: , Comment: ","79842"
"2025/09/09 22:17:54","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","79863"
"2025/09/09 22:18:04","6006","System","System shutdown (Event Log service stopped)","Information","N/A","N/A","The Event log service was stopped.","","79864"
"2025/09/09 22:18:33","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 12 seconds.","","79877"
"2025/09/09 22:18:33","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","79876"
