DateTime,EventId,EventType,RecordId,SessionTag
2025-10-28 19:08:22,6008,Unexpected shutdown (previous shutdown was unexpected),97639,logoff
2025-10-28 19:11:21,7001,User logon notification,97790,logon
2025-10-29 17:32:20,41,System rebooted without cleanly shutting down,97927,logoff
2025-10-29 17:32:30,6008,Unexpected shutdown (previous shutdown was unexpected),97910,logoff
2025-10-29 17:32:30,6005,System startup (Event Log service started),97912,logon
2025-10-29 17:32:35,7001,User logon notification,98054,logon
2025-10-29 23:36:42,1074,System shutdown/restart initiated,98240,logoff
2025-10-29 23:36:44,7002,User logoff notification,98268,logoff
2025-10-29 23:37:59,6005,System startup (Event Log service started),98279,logon
2025-10-29 23:38:31,1074,System shutdown/restart initiated,98475,logoff
2025-10-29 23:39:02,6005,System startup (Event Log service started),98484,logon
2025-10-29 23:39:46,7001,User logon notification,98626,logon
2025-10-29 23:40:18,1074,System shutdown/restart initiated,98662,logoff
2025-10-29 23:40:25,7002,User logoff notification,98687,logoff
2025-10-30 07:36:27,41,System rebooted without cleanly shutting down,98724,logoff
2025-10-30 07:36:37,6008,Unexpected shutdown (previous shutdown was unexpected),98707,logoff
2025-10-30 07:36:37,7001,User logon notification,98830,logon
2025-10-30 07:36:37,6005,System startup (Event Log service started),98709,logon
2025-10-30 08:50:48,1074,System shutdown/restart initiated,98975,logoff
2025-10-30 08:50:50,1074,System shutdown/restart initiated,98998,logoff
2025-10-30 08:50:50,7002,User logoff notification,98999,logoff
2025-10-30 10:40:15,7001,User logon notification,99018,logon
2025-10-31 07:34:56,41,System rebooted without cleanly shutting down,99141,logoff
2025-10-31 07:35:07,6008,Unexpected shutdown (previous shutdown was unexpected),99108,logoff
2025-10-31 07:35:07,6005,System startup (Event Log service started),99110,logon
2025-10-31 07:35:32,7001,User logon notification,99273,logon
2025-10-31 08:22:50,1074,System shutdown/restart initiated,99420,logoff
2025-10-31 08:22:52,7002,User logoff notification,99444,logoff
2025-10-31 08:22:52,1074,System shutdown/restart initiated,99443,logoff
2025-10-31 16:00:50,7001,User logon notification,99468,logon
2025-11-01 11:34:14,41,System rebooted without cleanly shutting down,99715,logoff
2025-11-01 11:34:26,6008,Unexpected shutdown (previous shutdown was unexpected),99690,logoff
