DateTime,EventId,EventType,RecordId,SessionTag
2025-09-03 22:41:03,7002,User logoff notification,77894,logoff
2025-09-04 11:48:03,7001,User logon notification,77921,logon
2025-09-05 15:02:00,41,System rebooted without cleanly shutting down,78014,logoff
2025-09-05 15:02:11,6008,Unexpected shutdown (previous shutdown was unexpected),77989,logoff
2025-09-05 15:02:11,6005,System startup (Event Log service started),77999,logon
2025-09-05 15:02:54,7001,User logon notification,78147,logon
2025-09-05 23:13:44,1074,System shutdown/restart initiated,78315,logoff
2025-09-06 07:44:26,41,System rebooted without cleanly shutting down,78371,logoff
2025-09-06 07:44:37,6005,System startup (Event Log service started),78348,logon
2025-09-06 07:44:37,6008,Unexpected shutdown (previous shutdown was unexpected),78346,logoff
2025-09-06 07:45:07,7001,User logon notification,78502,logon
2025-09-06 10:25:19,1074,System shutdown/restart initiated,78574,logoff
2025-09-06 10:25:20,1074,System shutdown/restart initiated,78594,logoff
2025-09-06 10:25:20,7002,User logoff notification,78595,logoff
2025-09-06 14:16:41,7001,User logon notification,78616,logon
2025-09-06 20:58:09,1074,System shutdown/restart initiated,78684,logoff
2025-09-06 20:58:17,7002,User logoff notification,78706,logoff
2025-09-07 08:18:40,7001,User logon notification,78746,logon
2025-09-07 09:53:39,1074,System shutdown/restart initiated,78812,logoff
2025-09-07 09:53:41,7002,User logoff notification,78833,logoff
2025-09-07 09:59:15,7001,User logon notification,78852,logon
2025-09-07 10:02:37,1074,System shutdown/restart initiated,78894,logoff
2025-09-07 10:02:39,7002,User logoff notification,78914,logoff
2025-09-07 12:38:51,7001,User logon notification,78933,logon
2025-09-07 13:53:51,1074,System shutdown/restart initiated,78975,logoff
2025-09-07 13:53:53,7002,User logoff notification,78995,logoff
2025-09-07 16:30:15,7001,User logon notification,79015,logon
2025-09-07 18:03:04,1074,System shutdown/restart initiated,79083,logoff
2025-09-07 18:03:05,7002,User logoff notification,79104,logoff
2025-09-08 17:45:30,7001,User logon notification,79139,logon
2025-09-08 19:34:27,1074,System shutdown/restart initiated,79247,logoff
2025-09-08 19:34:29,7002,User logoff notification,79267,logoff
2025-09-08 19:53:55,7001,User logon notification,79288,logon
2025-09-08 23:16:21,1074,System shutdown/restart initiated,79366,logoff
2025-09-08 23:16:23,7002,User logoff notification,79387,logoff
