"DateTime","EventId","LogName","EventType","Level","Username","ProcessName","Message","AdditionalInfo","RecordId"
"2025/09/29 20:23:02","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 261397 seconds.","","86379"
"2025/09/29 22:56:30","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","86492"
"2025/09/29 22:56:35","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","86519"
"2025/09/30 11:59:59","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 317617 seconds.","","86668"
"2025/09/30 12:00:00","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 317618 seconds.","","86669"
"2025/10/01 02:42:28","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: System Idle","","86831"
"2025/10/01 03:44:07","6006","System","System shutdown (Event Log service stopped)","Information","N/A","N/A","The Event log service was stopped.","","86894"
"2025/10/01 03:44:42","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 12 seconds.","","86908"
"2025/10/01 03:44:42","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","86907"
"2025/10/01 03:45:13","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process C:\WINDOWS\servicing\TrustedInstaller.exe (AIGENT-4090) has initiated the restart of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Operating System: Upgrade (Planned)  Reason Code: 0x80020003  Shutdown Type: restart  Comment:","Reason: , Comment: ","87102"
"2025/10/01 03:45:14","6006","System","System shutdown (Event Log service stopped)","Information","N/A","N/A","The Event log service was stopped.","","87103"
"2025/10/01 03:45:41","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","87112"
"2025/10/01 03:45:41","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 12 seconds.","","87113"
"2025/10/01 08:02:14","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","87311"
"2025/10/01 08:02:15","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:","Reason: , Comment: ","87334"
"2025/10/01 08:02:17","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","87339"
"2025/10/01 17:54:51","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 50962 seconds.","","87342"
"2025/10/01 20:58:48","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","87506"
"2025/10/01 20:58:51","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","87534"
